DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
11.Kas.10;3,68 ;2,48 ;- ;3,11 ;1,89 ;- ;1,57 
12.Kas.10;3,68 ;2,53 ;- ;3,11 ;1,89 ;- ;1,57 
13.Kas.10;3,68 ;2,53 ;- ;3,11 ;1,89 ;- ;1,62 
23.Kas.10;3,68 ;2,48 ;- ;3,11 ;1,84 ;- ;1,55 
24.Kas.10;3,68 ;2,48 ;- ;3,07 ;1,84 ;- ;1,55 
27.Kas.10;3,75 ;2,57 ;- ;3,15 ;1,92 ;- ;1,63 
8.Ara.10;3,83 ;2,64 ;- ;3,23 ;1,92 ;- ;1,63 
10.Ara.10;3,83 ;2,64 ;- ;3,23 ;1,94 ;- ;1,63 
15.Ara.10;3,80 ;2,64 ;- ;3,23 ;1,94 ;- ;1,63 
18.Ara.10;3,80 ;2,64 ;- ;3,23 ;1,94 ;- ;1,69 
21.Ara.10;3,80 ;2,64 ;- ;3,23 ;1,96 ;- ;1,69 
23.Ara.10;3,80 ;2,71 ;- ;3,30 ;1,96 ;- ;1,69 
28.Ara.10;3,86 ;2,71 ;- ;3,30 ;1,99 ;- ;1,69 
1.Oca.11;3,86 ;2,71 ;- ;3,30 ;1,99 ;- ;1,69 
8.Oca.11;3,86 ;2,71 ;- ;3,30 ;1,99 ;- ;1,74 
13.Oca.11;3,95 ;2,79 ;- ;3,30 ;1,99 ;- ;1,74 
14.Oca.11;3,95 ;2,79 ;- ;3,30 ;2,05 ;- ;1,74 
15.Oca.11;3,95 ;2,79 ;- ;3,36 ;2,05 ;- ;1,74 
29.Oca.11;3,95 ;2,79 ;- ;3,36 ;2,05 ;- ;1,79 
3.Şub.11;3,95 ;2,83 ;- ;3,42 ;2,13 ;- ;1,85 
17.Şub.11;3,95 ;2,83 ;- ;3,42 ;2,13 ;- ;1,91 
23.Şub.11;4,02 ;2,83 ;- ;3,42 ;2,16 ;- ;1,91 
25.Şub.11;4,02 ;2,95 ;- ;3,50 ;2,26 ;- ;1,92 
1.Mar.11;4,07 ;2,95 ;- ;3,50 ;2,26 ;- ;1,98 
4.Mar.11;4,07 ;3,03 ;- ;3,62 ;2,33 ;- ;1,98 
8.Mar.11;4,15 ;3,03 ;- ;3,62 ;2,33 ;- ;1,98 
9.Mar.11;4,15 ;3,03 ;- ;3,62 ;2,33 ;- ;2,04 
16.Mar.11;4,15 ;2,98 ;- ;3,62 ;2,33 ;- ;2,04 
17.Mar.11;4,03 ;2,98 ;- ;3,62 ;2,33 ;- ;2,04 
22.Mar.11;4,03 ;2,98 ;- ;3,62 ;2,33 ;- ;2,02 
29.Mar.11;4,13 ;2,98 ;- ;3,58 ;2,33 ;- ;2,02 
7.Nis.11;4,13 ;2,98 ;- ;3,58 ;2,33 ;- ;2,09 
19.Nis.11;4,20 ;2,98 ;- ;3,58 ;2,33 ;- ;2,09 
20.Nis.11;4,20 ;2,98 ;- ;3,58 ;2,33 ;- ;2,04 
3.May.11;4,29 ;2,98 ;- ;3,58 ;2,33 ;- ;2,07 
10.May.11;4,19 ;2,89 ;- ;3,49 ;2,33 ;- ;2,07 
11.May.11;4,19 ;2,89 ;- ;3,49 ;2,23 ;- ;2,01 
18.May.11;4,19 ;2,89 ;- ;3,49 ;2,29 ;- ;2,09 
24.May.11;4,15 ;2,89 ;- ;3,49 ;2,25 ;- ;2,03 
28.May.11;4,22 ;2,98 ;- ;3,58 ;2,32 ;- ;2,09 
9.Haz.11;4,16 ;2,98 ;- ;3,58 ;2,32 ;- ;2,09 
16.Haz.11;4,16 ;2,98 ;- ;3,58 ;2,38 ;- ;2,13 
25.Haz.11;4,16 ;2,98 ;- ;3,58 ;2,29 ;- ;2,10 
29.Haz.11;4,16 ;2,98 ;- ;3,51 ;2,29 ;- ;2,10 
30.Haz.11;4,16 ;2,95 ;- ;3,51 ;2,29 ;- ;2,10 
5.Tem.11;4,16 ;2,95 ;- ;3,51 ;2,32 ;- ;2,13 
6.Tem.11;4,16 ;2,95 ;- ;3,55 ;2,32 ;- ;2,13 
8.Tem.11;4,23 ;2,95 ;- ;3,55 ;2,32 ;- ;2,13 
12.Tem.11;4,23 ;3,04 ;- ;3,65 ;2,39 ;- ;2,14 
15.Tem.11;4,33 ;3,04 ;- ;3,65 ;2,39 ;- ;2,14 
23.Tem.11;4,33 ;3,13 ;- ;3,73 ;2,48 ;- ;2,27 
5.Ağu.11;4,33 ;3,13 ;- ;3,73 ;2,48 ;- ;2,27 
11.Ağu.11;4,33 ;3,06 ;- ;3,66 ;2,40 ;- ;2,24 
19.Ağu.11;4,33 ;3,15 ;- ;3,73 ;2,40 ;- ;2,24 
20.Ağu.11;4,33 ;3,15 ;- ;3,73 ;2,44 ;- ;2,28 
6.Eyl.11;4,42 ;3,15 ;- ;3,73 ;2,46 ;- ;2,30 
15.Eyl.11;4,31 ;3,15 ;- ;3,73 ;2,46 ;- ;2,30 
