Year,Full Blue Card,Student Blue Card,Discounted Blue Card,Full Istanbulkart,Student Istanbulkart,Discounted Istanbulkart
2013,155.0,75.0,90.0,1.95,1.1,1.35
2014,170.0,77.0,100.0,2.15,1.1,1.49
2015,170.0,77.0,100.0,2.15,1.1,1.49
2016,185.0,80.0,110.0,2.3,1.15,1.65
2017,205.0,85.0,125.0,2.6,1.25,1.85
2018,205.0,85.0,125.0,2.6,1.25,1.85
2019,205.0,85.0,125.0,2.6,1.25,1.85
2020,275.0,50.0,170.0,3.5,1.7,2.5
2021,373.0,67.75,231.5,4.76,2.32,3.4
2022,689.5,124.5,428.5,8.78,4.28,6.29
2023,1177.0,212.0,732.0,15.0,7.32,10.74
2024,1479.5,266.0,920.0,18.85,9.2,13.5
