YIL,KURŞUNSUZ BENZİN (TL/LT),GAZ YAĞI (TL/LT),MOTORİN (TL/LT),KALORİFER YAKITI (TL/KG),Y.K. FUEL OIL (TL/KG)
2013.0,4.67,3.33,4.13,2.44,2.1
2014.0,4.96,3.66,4.3,2.62,2.35
2015.0,4.58,3.29,3.92,2.19,2.0
2016.0,4.23,2.83,3.5,1.76,1.6
2017.0,5.15,3.92,4.5,2.63,2.35
2018.0,5.92,4.87,5.39,3.3,2.77
2019.0,6.86,5.87,6.38,4.52,3.92
2020.0,5.96,4.09,5.56,3.12,2.43
2021.0,7.19,6.7,6.54,5.94,4.74
2022.0,19.11,18.93,20.42,16.42,11.79
2023.0,20.17,17.95,19.91,15.07,10.92
2024.0,42.21,34.75,40.59,29.78,22.97
